"tipo.entropia","media_max_col","media_max_val","media_min_col","media_min_val","mediana_max_col","mediana_max_val","mediana_min_col","mediana_min_val","sd_max_col","sd_max_val","sd_min_col","sd_min_val"
"entropy_normalized_","entropy_normalized_DiscriminatoryIteration",0.703355996450726,"entropy_normalized_Frase",0.645336459496151,"entropy_normalized_DiscriminatoryIteration",0.710331671395781,"entropy_normalized_Frase",0.654446997225743,"entropy_normalized_AleatoryIteration",0.0704476172992972,"entropy_normalized_GreedyPassword",0.0443576966014033
"entropy_density_","entropy_density_HybridFunction",0.325820249429942,"entropy_density_Frase",0.287820359235907,"entropy_density_GreedyPassword",0.298746874915827,"entropy_density_Frase",0.260980569912448,"entropy_density_Frase",0.0913572451449378,"entropy_density_AleatoryIteration",0.076873942423029
"entropy_effective_","entropy_effective_DiscriminatoryIteration",46.1664536263439,"entropy_effective_Frase",39.9821918665581,"entropy_effective_DiscriminatoryIteration",48.1057163358342,"entropy_effective_AleatoryGeneration",41.5131794236476,"entropy_effective_DiscriminatoryIteration",25.0359452286002,"entropy_effective_HybridFunction",21.3485339478227
"entropy_shannon_","entropy_shannon_DiscriminatoryIteration",3.47964360652483,"entropy_shannon_Frase",3.03733784689306,"entropy_shannon_DiscriminatoryIteration",3.62473013996081,"entropy_shannon_Frase",3.18083298720544,"entropy_shannon_DiscriminatoryIteration",0.627612887843301,"entropy_shannon_Frase",0.489436934492438
"entropy_min_","entropy_min_DiscriminatoryIteration",3.36204667760095,"entropy_min_Frase",2.38294464105826,"entropy_min_DiscriminatoryIteration",3.42587452070803,"entropy_min_Frase",2.32192809488736,"entropy_min_DiscriminatoryIteration",0.623344784617067,"entropy_min_Frase",0.423174519386754
"entropy_quadratic_","entropy_quadratic_DiscriminatoryIteration",3.33406599908253,"entropy_quadratic_Frase",2.90586283153,"entropy_quadratic_DiscriminatoryIteration",3.47393118833241,"entropy_quadratic_Frase",3.01915467844873,"entropy_quadratic_DiscriminatoryIteration",0.622777234602898,"entropy_quadratic_Frase",0.473005300676633
