"tipo.entropia","media_max_col","media_max_val","media_min_col","media_min_val","mediana_max_col","mediana_max_val","mediana_min_col","mediana_min_val","sd_max_col","sd_max_val","sd_min_col","sd_min_val"
"entropy_normalized_","entropy_normalized_clave_hybrid",0.704784666162278,"entropy_normalized_frase",0.645336459496151,"entropy_normalized_clave_hybrid",0.710651976267516,"entropy_normalized_frase",0.654446997225743,"entropy_normalized_clave_weighted",0.0641350605077358,"entropy_normalized_frase",0.0445722416430004
"entropy_density_","entropy_density_clave_hybrid",0.312125734992802,"entropy_density_frase",0.287820359235907,"entropy_density_clave_weighted",0.28485798603896,"entropy_density_frase",0.260980569912448,"entropy_density_frase",0.0913572451449378,"entropy_density_clave_hybrid",0.0800628489876828
"entropy_effective_","entropy_effective_clave_hybrid",46.3426609155988,"entropy_effective_frase",39.9821918665581,"entropy_effective_clave_greedy",48.1057163358342,"entropy_effective_clave_aleatory",41.5131794236476,"entropy_effective_clave_hybrid",25.0980709687752,"entropy_effective_frase",21.4252315850395
"entropy_shannon_","entropy_shannon_clave_hybrid",3.48935896050076,"entropy_shannon_frase",3.03733784689306,"entropy_shannon_clave_hybrid",3.64270110943113,"entropy_shannon_frase",3.18083298720544,"entropy_shannon_clave_hybrid",0.628615593994613,"entropy_shannon_frase",0.489436934492438
"entropy_min_","entropy_min_clave_hybrid",3.4045591793036,"entropy_min_frase",2.38294464105826,"entropy_min_clave_hybrid",3.4594316186373,"entropy_min_frase",2.32192809488736,"entropy_min_clave_greedy",0.622285800068923,"entropy_min_frase",0.423174519386754
"entropy_quadratic_","entropy_quadratic_clave_hybrid",3.35404012836214,"entropy_quadratic_frase",2.90586283153,"entropy_quadratic_clave_hybrid",3.48658190751384,"entropy_quadratic_frase",3.01915467844873,"entropy_quadratic_clave_hybrid",0.624333052842087,"entropy_quadratic_frase",0.473005300676633
